company	date	price
AMZN	2020-01-02	1898.01001
AMZN	2020-01-03	1874.969971
AMZN	2020-01-06	1902.880005
AMZN	2020-01-07	1906.859985
AMZN	2020-01-08	1891.969971
AMZN	2020-01-09	1901.050049
AMZN	2020-01-10	1883.160034
AMZN	2020-01-13	1891.300049
AMZN	2020-01-14	1869.439941
AMZN	2020-01-15	1862.02002
AMZN	2020-01-16	1877.939941
AMZN	2020-01-17	1864.719971
AMZN	2020-01-21	1892
AMZN	2020-01-22	1887.459961
AMZN	2020-01-23	1884.579956
AMZN	2020-01-24	1861.640015
AMZN	2020-01-27	1828.339966
AMZN	2020-01-28	1853.25
AMZN	2020-01-29	1858
AMZN	2020-01-30	1870.680054
AMZN	2020-01-31	2008.719971
AMZN	2020-02-03	2004.199951
AMZN	2020-02-04	2049.669922
AMZN	2020-02-05	2039.869995
AMZN	2020-02-06	2050.22998
AMZN	2020-02-07	2079.280029
AMZN	2020-02-10	2133.909912
AMZN	2020-02-11	2150.800049
AMZN	2020-02-12	2160
AMZN	2020-02-13	2149.870117
AMZN	2020-02-14	2134.870117
AMZN	2020-02-18	2155.669922
AMZN	2020-02-19	2170.219971
AMZN	2020-02-20	2153.100098
AMZN	2020-02-21	2095.969971
AMZN	2020-02-24	2009.290039
AMZN	2020-02-25	1972.73999
AMZN	2020-02-26	1979.589966
AMZN	2020-02-27	1884.300049
AMZN	2020-02-28	1883.75
AMZN	2020-03-02	1953.949951
AMZN	2020-03-03	1908.98999
AMZN	2020-03-04	1975.829956
AMZN	2020-03-05	1924.030029
AMZN	2020-03-06	1901.089966
AMZN	2020-03-09	1800.609985
AMZN	2020-03-10	1891.819946
AMZN	2020-03-11	1820.859985
AMZN	2020-03-12	1676.609985
AMZN	2020-03-13	1785
AMZN	2020-03-16	1689.150024
AMZN	2020-03-17	1807.839966
AMZN	2020-03-18	1830
AMZN	2020-03-19	1880.930054
AMZN	2020-03-20	1846.089966
AMZN	2020-03-23	1902.829956
AMZN	2020-03-24	1940.099976
AMZN	2020-03-25	1885.839966
AMZN	2020-03-26	1955.48999
AMZN	2020-03-27	1900.099976
AMZN	2020-03-30	1963.949951
AMZN	2020-03-31	1949.719971
AMZN	2020-04-01	1907.699951
AMZN	2020-04-02	1918.829956
AMZN	2020-04-03	1906.589966
AMZN	2020-04-06	1997.589966
AMZN	2020-04-07	2011.599976
AMZN	2020-04-08	2043
AMZN	2020-04-09	2042.76001
AMZN	2020-04-13	2168.870117
AMZN	2020-04-14	2283.320068
AMZN	2020-04-15	2307.679932
AMZN	2020-04-16	2408.189941
AMZN	2020-04-17	2375
AMZN	2020-04-20	2393.610107
AMZN	2020-04-21	2328.120117
AMZN	2020-04-22	2363.48999
AMZN	2020-04-23	2399.449951
AMZN	2020-04-24	2410.219971
AMZN	2020-04-27	2376
AMZN	2020-04-28	2314.080078
AMZN	2020-04-29	2372.709961
AMZN	2020-04-30	2474
AMZN	2020-05-01	2286.040039
AMZN	2020-05-04	2315.98999
AMZN	2020-05-05	2317.800049
AMZN	2020-05-06	2351.26001
AMZN	2020-05-07	2367.610107
AMZN	2020-05-08	2379.610107
AMZN	2020-05-11	2409
AMZN	2020-05-12	2356.949951
AMZN	2020-05-13	2367.919922
AMZN	2020-05-14	2388.850098
AMZN	2020-05-15	2409.780029
AMZN	2020-05-18	2426.26001
AMZN	2020-05-19	2449.330078
AMZN	2020-05-20	2497.939941
AMZN	2020-05-21	2446.73999
AMZN	2020-05-22	2436.879883
AMZN	2020-05-26	2421.860107
AMZN	2020-05-27	2410.389893
AMZN	2020-05-28	2401.100098
AMZN	2020-05-29	2442.370117
AMZN	2020-06-01	2471.040039
AMZN	2020-06-02	2472.409912
AMZN	2020-06-03	2478.399902
AMZN	2020-06-04	2460.600098
AMZN	2020-06-05	2483
AMZN	2020-06-08	2524.060059
AMZN	2020-06-09	2600.860107
AMZN	2020-06-10	2647.449951
AMZN	2020-06-11	2557.959961
AMZN	2020-06-12	2545.02002
AMZN	2020-06-15	2572.679932
AMZN	2020-06-16	2615.27002
AMZN	2020-06-17	2640.97998
AMZN	2020-06-18	2653.97998
AMZN	2020-06-19	2675.01001
AMZN	2020-06-22	2713.820068
AMZN	2020-06-23	2764.409912
AMZN	2020-06-24	2734.399902
AMZN	2020-06-25	2754.580078
AMZN	2020-06-26	2692.870117
AMZN	2020-06-29	2680.379883
AMZN	2020-06-30	2758.820068
AMZN	2020-07-01	2878.699951
AMZN	2020-07-02	2890.300049
AMZN	2020-07-06	3057.040039
AMZN	2020-07-07	3000.120117
AMZN	2020-07-08	3081.110107
AMZN	2020-07-09	3182.629883
AMZN	2020-07-10	3200
AMZN	2020-07-13	3104
AMZN	2020-07-14	3084
AMZN	2020-07-15	3008.870117
AMZN	2020-07-16	2999.899902
AMZN	2020-07-17	2961.969971
AMZN	2020-07-20	3196.840088
AMZN	2020-07-21	3138.290039
AMZN	2020-07-22	3099.909912
AMZN	2020-07-23	2986.550049
AMZN	2020-07-24	3008.909912
AMZN	2020-07-27	3055.209961
AMZN	2020-07-28	3000.330078
AMZN	2020-07-29	3033.530029
AMZN	2020-07-30	3051.879883
AMZN	2020-07-31	3164.679932
AMZN	2020-08-03	3111.889893
AMZN	2020-08-04	3138.830078
AMZN	2020-08-05	3205.030029
AMZN	2020-08-06	3225
AMZN	2020-08-07	3167.459961
AMZN	2020-08-10	3148.159912
AMZN	2020-08-11	3080.669922
AMZN	2020-08-12	3162.23999
AMZN	2020-08-13	3161.02002
AMZN	2020-08-14	3148.02002
AMZN	2020-08-17	3182.409912
AMZN	2020-08-18	3312.48999
AMZN	2020-08-19	3260.47998
AMZN	2020-08-20	3297.370117
AMZN	2020-08-21	3284.719971
AMZN	2020-08-24	3307.459961
AMZN	2020-08-25	3346.48999
AMZN	2020-08-26	3441.850098
AMZN	2020-08-27	3400
AMZN	2020-08-28	3401.800049
AMZN	2020-08-31	3450.959961
AMZN	2020-09-01	3499.120117
AMZN	2020-09-02	3531.449951
AMZN	2020-09-03	3368
AMZN	2020-09-04	3294.620117
AMZN	2020-09-08	3149.840088
AMZN	2020-09-09	3268.610107
AMZN	2020-09-10	3175.110107
AMZN	2020-09-11	3116.219971
AMZN	2020-09-14	3102.969971
AMZN	2020-09-15	3156.129883
AMZN	2020-09-16	3078.100098
AMZN	2020-09-17	3008.72998
AMZN	2020-09-18	2954.909912
AMZN	2020-09-21	2960.469971
AMZN	2020-09-22	3128.98999
AMZN	2020-09-23	2999.860107
AMZN	2020-09-24	3019.790039
AMZN	2020-09-25	3095.129883
AMZN	2020-09-28	3174.050049
AMZN	2020-09-29	3144.879883
AMZN	2020-09-30	3148.72998
AMZN	2020-10-01	3221.26001
AMZN	2020-10-02	3125
AMZN	2020-10-05	3199.199951
AMZN	2020-10-06	3099.959961
AMZN	2020-10-07	3195.689941
AMZN	2020-10-08	3190.550049
AMZN	2020-10-09	3286.649902
AMZN	2020-10-12	3442.929932
AMZN	2020-10-13	3443.629883
