CompTotal	Education
180000.0	Master's
55000.0	Bachelor's
77000.0	Bachelor's
67017.0	Bachelor's
90000.0	Less than bachelor's
58000.0	Bachelor's
180000.0	Master's
104000.0	Less than bachelor's
86250.0	Bachelor's
167000.0	Bachelor's
155000.0	Bachelor's
45000.0	Bachelor's
275000.0	Bachelor's
150000.0	Bachelor's
180000.0	Bachelor's
160000.0	Bachelor's
185000.0	Bachelor's
135000.0	Bachelor's
55000.0	Less than bachelor's
115000.0	Master's
192000.0	Bachelor's
115000.0	Bachelor's
140000.0	Bachelor's
150000.0	Bachelor's
64500.0	Bachelor's
55000.0	Bachelor's
115000.0	Less than bachelor's
65000.0	Less than bachelor's
100000.0	Bachelor's
110000.0	Less than bachelor's
100000.0	Bachelor's
80000.0	Master's
52500.0	Bachelor's
147000.0	Bachelor's
72000.0	Bachelor's
190000.0	Bachelor's
132000.0	Bachelor's
175000.0	Bachelor's
180000.0	Less than bachelor's
130000.0	Bachelor's
67000.0	Bachelor's
110000.0	Less than bachelor's
180000.0	Bachelor's
76000.0	Bachelor's
125000.0	Bachelor's
320000.0	Bachelor's
200000.0	Master's
95000.0	Bachelor's
83200.0	Bachelor's
90000.0	Bachelor's
82000.0	Bachelor's
260000.0	Master's
85000.0	Bachelor's
120000.0	Less than bachelor's
140000.0	Master's
266000.0	Bachelor's
73445.0	Bachelor's
100000.0	Bachelor's
125000.0	Bachelor's
89468.0	Bachelor's
95000.0	Bachelor's
115000.0	Master's
138000.0	Bachelor's
70000.0	Bachelor's
110000.0	Bachelor's
144000.0	Bachelor's
95000.0	Bachelor's
172500.0	Bachelor's
90000.0	Master's
102000.0	Bachelor's
82000.0	Bachelor's
100000.0	Less than bachelor's
130000.0	Master's
150000.0	Bachelor's
99800.0	Master's
70000.0	Bachelor's
93600.0	Bachelor's
70000.0	Bachelor's
97000.0	Less than bachelor's
185000.0	Less than bachelor's
168000.0	Bachelor's
75000.0	Bachelor's
80000.0	Bachelor's
130000.0	Bachelor's
65000.0	Master's
100000.0	Master's
84000.0	Less than bachelor's
200000.0	Bachelor's
111000.0	Master's
125000.0	Bachelor's
100000.0	Master's
185000.0	Less than bachelor's
132000.0	Bachelor's
40000.0	Bachelor's
68000.0	Bachelor's
77000.0	Bachelor's
115500.0	Bachelor's
69888.0	Less than bachelor's
108000.0	Bachelor's
105000.0	Less than bachelor's
75000.0	PhD
