CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
61000,Man,IC,3,16,Less than 1 year,Bachelor's
90000,Man,Manager,17,11,8,Master's
103000,Man,IC,35,12,18,Less than bachelor's
69000,Man,IC,3,19,1,Bachelor's
114000,Man,Manager,12,8,8,Less than bachelor's
22000,Man,IC,3,16,2,Less than bachelor's
80000,Woman,IC,14,21,14,Bachelor's
156000,Man,IC,30,6,23,Bachelor's
175000,Man,Manager,40,21,35,Master's
187000,Man,Manager,35,10,20,PhD
47300,Man,IC,5,10,3,Less than bachelor's
107000,Man,IC,10,13,9,Less than bachelor's
66000,Man,IC,15,10,8,Less than bachelor's
75000,Man,IC,28,12,23,Master's
110000,Man,IC,11,19,8,Bachelor's
45000,Woman,IC,9,16,2,Bachelor's
160000,Man,IC,20,13,10,Master's
140000,Man,IC,50,14,48,Bachelor's
1e+05,Man,IC,10,16,4,Master's
60000,Man,IC,8,18,1,Bachelor's
106000,Man,IC,25,8,12,Master's
62000,Man,IC,16,17,11,PhD
83200,Man,IC,12,16,9,Bachelor's
70000,Man,IC,7,14,2,Bachelor's
180000,Woman,IC,8,17,2,Bachelor's
135000,Woman,IC,7,19,5,Bachelor's
80000,Man,IC,8,16,4,Bachelor's
70000,Man,Manager,6,15,3,Bachelor's
90000,Man,IC,10,10,5,Bachelor's
120000,Man,IC,9,25,7,Bachelor's
112800,Man,IC,9,19,9,Bachelor's
117800,Man,IC,17,13,11,Less than bachelor's
66000,Man,IC,42,17,20,Master's
110000,Man,Manager,20,14,15,Bachelor's
233000,Man,IC,14,12,10,Bachelor's
120000,Man,IC,14,15,10,Bachelor's
90000,Man,IC,20,9,10,Bachelor's
88000,Man,IC,5,26,4,Bachelor's
80738,Man,IC,14,13,4,Less than bachelor's
72000,Man,IC,9,14,2,Bachelor's
135000,Man,IC,10,14,9,Less than bachelor's
123000,Man,Manager,12,20,9,Master's
130000,Man,IC,21,12,16,Bachelor's
130000,Man,IC,22,15,10,Less than bachelor's
115000,Man,IC,15,12,8,Master's
140000,Woman,IC,5,6,Less than 1 year,Master's
160000,Man,IC,6,NA,5,Master's
84000,Woman,IC,10,13,8,Less than bachelor's
140000,Woman,IC,8,25,8,Less than bachelor's
105000,Man,IC,6,17,2,Bachelor's
55000,Man,IC,12,11,1,Bachelor's
57000,Man,IC,2,15,1,Master's
125000,Man,IC,4,10,2,Bachelor's
151000,Man,IC,11,14,4,Bachelor's
55000,Man,IC,5,11,2,Bachelor's
1e+05,Man,IC,10,12,8,Less than bachelor's
140000,Man,IC,Less than 1 year,38,Less than 1 year,Master's
113000,Man,IC,4,21,4,Less than bachelor's
165000,Man,IC,15,18,10,Bachelor's
135000,Man,IC,35,14,30,Bachelor's
118000,Man,IC,10,18,6,Master's
154000,Man,IC,17,6,12,Professional
92000,Man,IC,24,9,15,Bachelor's
130000,Man,IC,39,11,33,Less than bachelor's
125000,Man,IC,20,12,15,Bachelor's
125000,Man,IC,30,8,20,Bachelor's
80000,Man,IC,10,13,4,Bachelor's
85000,Man,IC,30,8,21,Less than bachelor's
118000,Man,IC,30,12,20,NA
97000,Man,IC,9,13,2,Master's
121000,Man,IC,17,10,10,Bachelor's
58000,Man,IC,6,18,1,Bachelor's
90000,Man,IC,15,14,5,Master's
90000,Man,IC,15,15,7,PhD
125000,Woman,IC,3,27,2,Master's
145000,Man,IC,38,30,35,Less than bachelor's
110000,Man,IC,15,15,10,Bachelor's
120000,Man,Manager,18,11,15,Less than bachelor's
53500,Man,IC,10,15,2,Bachelor's
140000,Man,Manager,14,7,7,Bachelor's
104000,Man,IC,17,23,15,Bachelor's
56000,Woman,IC,6,22,6,Master's
1e+05,Man,IC,12,16,7,Bachelor's
190000,Man,IC,20,10,11,Bachelor's
35000,Man,IC,2,17,1,Less than bachelor's
104000,Man,IC,15,19,12,Less than bachelor's
83000,Man,Manager,4,18,3,Bachelor's
72500,Man,IC,11,14,6,Bachelor's
125000,Man,IC,14,14,10,Master's
150000,Man,Manager,12,20,NA,Bachelor's
105000,Man,IC,10,12,10,Bachelor's
110000,Woman,IC,15,15,10,Bachelor's
1e+05,Man,Manager,40,18,37,Bachelor's
82000,Man,IC,7,18,3,Master's
147000,Man,IC,23,13,12,Master's
70000,Man,IC,2,11,2,PhD
