CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
160000,Man,IC,14,13,9,Bachelor's
120000,Man,IC,7,10,3,Less than bachelor's
70000,Man,IC,8,13,4,Bachelor's
85500,Man,IC,17,15,11,Less than bachelor's
96000,Man,IC,8,17,5,Bachelor's
86000,Woman,IC,6,18,2,Bachelor's
75000,Man,IC,15,11,7,Bachelor's
95000,Man,IC,40,16,36,Less than bachelor's
120000,Man,IC,18,12,16,Master's
78000,Man,IC,6,13,2,Bachelor's
143000,Man,IC,5,10,5,Bachelor's
60000,Man,IC,5,18,Less than 1 year,Bachelor's
120000,Woman,Manager,37,5,25,Less than bachelor's
3e+05,Man,IC,9,14,7,Bachelor's
3e+05,Man,IC,23,12,12,Master's
155000,Man,IC,23,12,14,Less than bachelor's
79090,Man,Manager,10,6,3,Bachelor's
122000,Man,IC,33,6,13,Bachelor's
106000,Man,IC,7,14,5,Bachelor's
59000,Man,IC,4,37,3,Bachelor's
77000,Woman,IC,19,12,4,Master's
62000,Man,IC,6,16,1,Bachelor's
1e+05,Man,IC,32,10,11,PhD
110000,Man,IC,10,18,7,Master's
82000,Man,IC,16,11,12,Bachelor's
156000,Man,IC,5,17,4,Master's
190000,Woman,IC,12,15,8,Bachelor's
215000,Man,IC,20,14,12,Master's
51000,Man,IC,8,15,6,Bachelor's
174000,Man,IC,26,11,14,PhD
94020,Man,IC,25,13,20,Bachelor's
78000,Man,IC,8,18,5,Bachelor's
1e+05,Man,IC,25,8,10,Master's
81000,Man,IC,8,15,5,Master's
150000,Man,Manager,36,12,28,Master's
99000,Man,IC,5,18,3,Bachelor's
162000,Man,Manager,40,9,37,Less than bachelor's
2e+05,Woman,IC,28,9,22,Bachelor's
160000,Woman,IC,12,18,5,Master's
99000,Man,IC,13,12,8,Bachelor's
82000,Man,IC,14,13,3,Bachelor's
77250,Man,IC,5,18,2,Bachelor's
90000,Man,IC,4,16,3,Bachelor's
80000,Man,IC,5,20,2,Bachelor's
64874,Man,IC,13,15,10,Master's
2e+05,Man,IC,21,20,16,Bachelor's
160000,Man,IC,10,15,7,Master's
95000,Man,IC,12,16,10,Bachelor's
150000,Man,IC,8,8,8,Master's
230000,Man,IC,6,17,3,Bachelor's
87000,Man,IC,10,15,8,Less than bachelor's
142000,Man,IC,25,13,23,Less than bachelor's
90000,Man,IC,23,14,20,Bachelor's
160000,Man,Manager,32,16,28,Master's
115000,Man,IC,25,9,25,Less than bachelor's
172000,Man,IC,32,15,22,Bachelor's
180000,Man,IC,39,16,36,Bachelor's
90000,Man,Manager,13,10,4,Bachelor's
75000,Woman,IC,7,8,Less than 1 year,Master's
116000,Man,IC,4,31,3,Less than bachelor's
53000,Woman,NA,14,21,5,Less than bachelor's
70000,Man,IC,8,17,1,Master's
50000,Man,IC,5,18,3,Bachelor's
95000,Man,IC,14,28,10,Bachelor's
60000,Man,IC,2,21,Less than 1 year,Bachelor's
75000,Man,IC,14,8,4,Bachelor's
35000,Man,IC,7,15,2,Less than bachelor's
70000,Man,IC,15,21,11,Master's
133000,Man,IC,18,14,17,Bachelor's
80000,Man,IC,7,18,3,Bachelor's
160000,Man,Manager,15,14,9,NA
150000,Man,IC,12,18,11,Master's
83000,Woman,IC,2,25,1,Bachelor's
120000,Man,IC,37,11,26,PhD
173500,Man,IC,35,12,16,Master's
31000,Man,IC,3,19,2,Bachelor's
98000,Man,IC,12,13,9,Less than bachelor's
64500,Woman,IC,6,17,Less than 1 year,Bachelor's
3e+05,Man,Manager,30,Younger than 5 years,12,Master's
156000,Man,IC,7,17,Less than 1 year,Master's
1e+05,Man,IC,6,19,4,Bachelor's
81000,Man,IC,11,9,4,Bachelor's
61000,Man,IC,14,7,9,Bachelor's
64500,Man,IC,6,11,3,Bachelor's
98000,Man,IC,23,16,12,Less than bachelor's
224354,Man,IC,19,16,16,PhD
68000,Man,IC,10,9,5,Bachelor's
155000,Man,Manager,37,13,27,Bachelor's
135000,Man,Manager,37,17,32,Master's
144000,Man,IC,12,11,6,Bachelor's
70000,Man,IC,8,16,3,Bachelor's
92000,Man,IC,43,25,43,Bachelor's
215000,Man,IC,14,9,3,Bachelor's
180000,Man,IC,6,18,2,Bachelor's
303000,Man,IC,6,27,6,Master's
76400,Woman,IC,10,13,2,Bachelor's
65000,Man,IC,18,12,16,Less than bachelor's
62000,Man,IC,25,15,10,Bachelor's
126000,Man,IC,30,15,26,Master's
80000,Man,IC,3,20,1,NA
77250,Man,IC,15,14,12,Bachelor's
142000,Man,IC,36,8,21,Less than bachelor's
60000,Man,IC,5,22,3,Bachelor's
120000,Man,IC,25,9,20,Master's
1e+05,Man,IC,16,18,15,Master's
130000,Man,Manager,12,10,12,Master's
80000,Man,IC,8,19,6,Less than bachelor's
81000,Man,IC,9,31,9,Bachelor's
130000,Man,IC,NA,17,6,Master's
70000,Man,IC,5,15,3,Bachelor's
1e+06,Man,IC,20,15,8,Less than bachelor's
128000,Man,IC,22,27,18,Bachelor's
103000,Man,Manager,17,17,14,Bachelor's
70000,Man,IC,6,17,3,Bachelor's
160000,Man,IC,11,18,8,Master's
112000,Man,IC,9,17,6,Master's
153500,Man,IC,9,18,4,Bachelor's
85000,Man,IC,9,10,2,Bachelor's
1e+05,Man,IC,9,12,8,Less than bachelor's
110000,Man,IC,7,22,6,Bachelor's
130000,Man,Manager,20,15,16,Bachelor's
65000,Man,IC,6,20,3,Bachelor's
149000,Man,IC,5,14,3,Bachelor's
107000,Man,IC,20,17,10,Less than bachelor's
50000,Man,IC,5,12,3,Less than bachelor's
75000,Man,IC,5,18,3,Bachelor's
105000,Man,IC,30,15,25,Bachelor's
192500,Man,IC,20,16,18,Bachelor's
56000,Man,IC,5,31,4,Less than bachelor's
85000,Man,IC,10,14,4,Bachelor's
110000,Man,IC,32,12,30,Less than bachelor's
1e+05,Man,IC,9,13,2,Bachelor's
74000,Man,IC,10,24,10,Less than bachelor's
115000,Man,IC,16,16,8,Less than bachelor's
227000,Man,IC,7,13,4,Bachelor's
85000,Man,Manager,9,9,6,Bachelor's
1e+05,Man,IC,42,15,27,Bachelor's
130000,Man,IC,28,10,6,PhD
135000,Man,Manager,30,5,22,Master's
109000,Man,IC,6,20,1,Bachelor's
130000,Woman,IC,24,8,15,Less than bachelor's
120000,Man,IC,3,18,2,Bachelor's
220000,Man,IC,14,17,8,Bachelor's
250000,Man,IC,15,11,13,Bachelor's
105200,Man,IC,12,16,10,Bachelor's
80000,Man,IC,16,13,5,Master's
1e+05,Man,IC,13,12,5,Bachelor's
40000,Man,IC,9,17,Less than 1 year,Less than bachelor's
60000,Man,IC,9,16,5,Bachelor's
78000,Woman,IC,2,25,2,Bachelor's
58000,Man,IC,14,12,Less than 1 year,Less than bachelor's
14000,Man,IC,18,10,12,Master's
135000,Man,IC,24,16,13,Bachelor's
205000,Man,IC,11,16,5,Bachelor's
235000,Man,IC,25,15,6,Bachelor's
3e+05,Man,IC,10,18,6,Bachelor's
110000,Man,IC,18,14,8,Bachelor's
130000,Man,IC,43,13,33,Bachelor's
134400,Man,IC,14,10,14,Less than bachelor's
113000,Man,IC,8,17,3,Master's
143000,Man,IC,35,10,26,Bachelor's
70000,Man,IC,9,19,6,Bachelor's
118000,Man,IC,12,13,4,Master's
73000,Man,IC,39,16,25,Less than bachelor's
120000,Man,IC,16,17,16,Bachelor's
68000,Woman,IC,1,15,Less than 1 year,Bachelor's
220000,Man,IC,9,12,4,Bachelor's
106000,Man,IC,18,16,11,Bachelor's
1e+05,Woman,IC,3,24,2,Less than bachelor's
110000,Man,IC,25,13,20,Bachelor's
170000,Man,IC,15,14,13,Less than bachelor's
220000,Man,IC,19,13,11,Bachelor's
130000,Man,Manager,23,13,20,Bachelor's
130000,Man,IC,9,19,7,Bachelor's
240000,Man,IC,25,8,11,Bachelor's
220000,Woman,IC,7,13,3,Master's
90000,Woman,IC,10,10,4,Master's
125000,Man,IC,5,18,15,Master's
190000,Man,IC,40,12,22,Master's
93000,Woman,IC,12,18,8,Bachelor's
130000,Man,IC,21,12,12,Bachelor's
110000,Woman,IC,42,8,25,PhD
1e+05,Man,Manager,3,25,3,Bachelor's
85000,Woman,IC,8,18,3,Bachelor's
31000,Woman,IC,8,17,3,Master's
125000,Man,IC,12,21,12,Less than bachelor's
90000,Man,IC,10,15,8,Bachelor's
85000,Man,IC,5,21,4,Bachelor's
55000,Woman,Manager,3,12,1,Less than bachelor's
150000,Man,IC,17,13,11,Bachelor's
54000,Man,IC,11,18,2,Master's
48000,Man,IC,7,18,2,Bachelor's
130000,Man,IC,14,14,6,Bachelor's
250000,Man,Manager,25,8,10,Bachelor's
90000,Man,IC,3,24,2,Master's
110000,Woman,IC,5,12,5,Bachelor's
72300,Man,IC,7,16,2,Bachelor's
231200,Man,IC,42,15,40,Bachelor's
170000,Man,IC,15,19,10,Master's
130000,Man,IC,22,14,8,Bachelor's
55000,Man,IC,6,19,2,Bachelor's
130000,Man,IC,9,17,3,Master's
185000,Man,IC,10,16,6,Bachelor's
130000,Man,Manager,7,22,5,Bachelor's
109980,Man,IC,9,17,7,Bachelor's
190000,Man,IC,20,9,4,Less than bachelor's
78000,Man,IC,11,9,7,Bachelor's
31201,Man,IC,12,9,3,Less than bachelor's
410000,Man,IC,7,19,5,Master's
154000,Man,IC,24,13,18,Master's
68000,Woman,IC,2,22,Less than 1 year,NA
105000,Man,NA,20,12,10,Master's
112000,Man,IC,3,15,2,Bachelor's
135000,Man,IC,27,8,17,Bachelor's
105000,Man,IC,7,18,4,Bachelor's
90000,Man,IC,9,16,2,Bachelor's
108000,Man,IC,19,16,17,Master's
9e+05,Man,IC,1,19,1,Less than bachelor's
1e+05,Man,Manager,16,11,9,Bachelor's
95200,Man,IC,10,9,6,Bachelor's
46000,Man,IC,2,26,Less than 1 year,Bachelor's
75000,Man,IC,15,15,12,Less than bachelor's
90000,Woman,IC,7,23,7,Master's
120000,Man,IC,21,12,18,Bachelor's
170000,Man,IC,9,21,5,Bachelor's
75000,Man,IC,5,27,4,Master's
150000,Man,Manager,28,10,10,Less than bachelor's
90000,Man,IC,15,16,5,Master's
105000,Man,IC,14,9,3,Bachelor's
93000,Man,IC,9,25,8,Less than bachelor's
120000,Man,IC,24,10,21,Bachelor's
72000,Man,IC,5,33,2,Less than bachelor's
92900,Woman,IC,8,18,4,Bachelor's
55000,Man,IC,4,16,4,Master's
118000,Man,IC,17,14,8,Bachelor's
80000,Man,IC,13,9,8,Bachelor's
164000,Man,IC,30,28,25,Less than bachelor's
123000,Man,IC,20,18,16,Master's
63000,Man,IC,6,12,4,Less than bachelor's
79000,Man,IC,13,13,4,Bachelor's
140000,Man,IC,15,12,3,Master's
2e+05,Man,IC,4,17,Less than 1 year,Bachelor's
80750,Woman,IC,3,19,3,Master's
107000,Woman,IC,3,17,2,Master's
105000,Man,IC,12,19,6,Bachelor's
190000,Man,IC,15,30,40,Bachelor's
175000,Man,IC,26,12,10,Master's
90000,Man,IC,7,21,6,Less than bachelor's
150000,Man,IC,9,18,5,Bachelor's
95000,Woman,IC,8,11,4,Bachelor's
145000,Man,IC,15,12,10,Less than bachelor's
135000,Man,IC,7,12,2,Bachelor's
75000,Man,IC,3,23,1,Less than bachelor's
50000,Man,IC,5,14,2,Bachelor's
119000,Man,IC,10,19,6,Bachelor's
125000,Man,IC,16,9,10,Bachelor's
210000,Man,Manager,26,8,20,Less than bachelor's
120000,Man,Manager,20,15,15,Bachelor's
52500,Man,IC,8,16,4,Less than bachelor's
90000,Man,IC,23,20,20,Bachelor's
110000,Man,IC,10,20,7,Bachelor's
2e+05,Man,IC,23,Younger than 5 years,20,Less than bachelor's
110000,Man,IC,17,13,13,Bachelor's
125000,Man,IC,42,14,38,Bachelor's
70000,Man,IC,9,15,7,Bachelor's
150000,Woman,IC,3,12,3,Bachelor's
66175,Man,IC,5,19,2,Bachelor's
85000,Man,IC,9,14,4,Bachelor's
70000,Man,NA,10,14,3,Bachelor's
121000,Woman,IC,13,10,Less than 1 year,Less than bachelor's
125000,Man,IC,21,16,17,Master's
64494,Man,IC,11,11,2,Bachelor's
125000,Man,Manager,10,14,9,Less than bachelor's
75000,Woman,IC,10,14,3,Bachelor's
126500,Woman,IC,8,22,5,Master's
130000,Man,IC,13,15,8,Bachelor's
190000,Man,Manager,30,5,10,Bachelor's
110000,Man,IC,15,14,6,Bachelor's
120000,Man,Manager,15,15,8,Less than bachelor's
250000,Man,Manager,12,15,10,Bachelor's
40000,Man,IC,3,14,3,Bachelor's
171000,Man,Manager,17,15,14,Bachelor's
126000,Man,IC,20,18,20,Bachelor's
96000,Man,IC,12,16,7,Bachelor's
85000,Man,IC,24,16,19,Master's
43000,Man,IC,NA,NA,NA,Bachelor's
85000,Man,IC,9,17,8,Bachelor's
144000,Woman,Manager,18,9,9,Bachelor's
85000,Man,IC,18,12,12,Bachelor's
120000,Man,IC,38,7,33,Master's
150000,Man,IC,21,11,21,Bachelor's
75000,Man,IC,7,15,2,Bachelor's
53500,Man,IC,10,15,2,Bachelor's
175000,Woman,IC,15,9,8,Bachelor's
90000,Man,IC,17,18,12,Bachelor's
105000,Man,IC,12,16,4,Master's
105000,Man,IC,19,11,11,Bachelor's
126000,Man,IC,8,16,8,Bachelor's
110000,Man,IC,20,13,3,Less than bachelor's
80000,Woman,IC,16,14,3,Bachelor's
135000,Man,IC,18,10,11,Master's
2e+05,Man,IC,16,16,9,Master's
75000,Man,Manager,10,15,4,Master's
112000,Man,IC,8,13,6,Bachelor's
140000,Man,IC,5,18,Less than 1 year,Bachelor's
70000,Man,IC,8,18,4,Bachelor's
60000,Man,IC,23,16,16,Bachelor's
97850,Man,IC,8,16,5,Bachelor's
135000,Man,IC,25,19,20,Master's
266000,Man,IC,9,7,9,Bachelor's
172000,Man,Manager,28,10,15,Master's
65400,Man,IC,5,19,2,Bachelor's
110000,Woman,IC,10,27,8,Less than bachelor's
105000,Man,IC,17,8,6,Bachelor's
51500,Man,IC,3,12,2,Master's
210000,Man,Manager,5,21,5,Bachelor's
105000,Man,Manager,14,14,6,Bachelor's
90000,Man,IC,3,15,3,Less than bachelor's
65000,Man,IC,4,16,2,Bachelor's
70000,Man,IC,5,16,1,Bachelor's
125000,Man,IC,36,17,30,Less than bachelor's
56000,Man,IC,5,23,4,Bachelor's
110000,Man,IC,13,11,7,Bachelor's
120000,Man,IC,7,16,3,Bachelor's
130000,Man,IC,5,17,5,Less than bachelor's
175000,Man,Manager,40,12,30,PhD
218000,Man,IC,28,10,13,Bachelor's
113000,Man,IC,7,19,5,Bachelor's
160000,Man,IC,42,12,32,Less than bachelor's
120000,Man,IC,30,10,20,Master's
2e+05,Man,IC,3,12,2,Bachelor's
140000,Man,IC,37,12,32,Master's
130000,Man,IC,7,18,3,Bachelor's
130000,Man,IC,22,8,11,Less than bachelor's
97000,Woman,IC,6,29,4,Master's
1e+05,Man,IC,20,16,10,Bachelor's
75000,Man,IC,20,8,3,Less than bachelor's
117000,Woman,IC,6,18,2,Bachelor's
93000,Man,Manager,43,18,30,Master's
188000,Man,Manager,15,19,10,Master's
88000,Man,IC,14,12,7,Bachelor's
143000,Man,IC,22,8,10,Less than bachelor's
85000,Man,IC,6,16,3,Bachelor's
98810,Man,IC,6,14,2,Bachelor's
36000,Man,IC,1,17,1,Less than bachelor's
151000,Man,IC,15,15,10,Bachelor's
138000,Man,IC,27,30,19,Bachelor's
125000,Man,IC,34,18,28,Master's
122000,Man,IC,10,19,4,Bachelor's
250000,Man,Manager,7,21,7,Bachelor's
697500,Man,IC,9,17,2,Bachelor's
135000,Woman,IC,21,18,20,Bachelor's
41000,Man,IC,6,11,1,Bachelor's
150000,Man,IC,20,14,15,Bachelor's
70000,Man,IC,20,15,4,Less than bachelor's
95000,Man,IC,26,16,22,Bachelor's
140000,Man,IC,19,16,16,Less than bachelor's
177000,Man,IC,8,17,4,Bachelor's
135000,Man,IC,42,12,37,Less than bachelor's
155000,Man,IC,4,20,4,Bachelor's
110000,Man,IC,16,16,6,Less than bachelor's
155000,Man,Manager,15,12,10,Bachelor's
130000,Man,NA,34,7,17,Bachelor's
131500,Man,IC,30,10,21,Bachelor's
74000,Man,IC,13,17,12,Bachelor's
102000,Man,Manager,17,12,10,Bachelor's
70000,Man,IC,5,11,5,Bachelor's
150000,Man,IC,10,12,6,Master's
120500,Man,IC,10,24,10,Bachelor's
122500,Man,IC,16,15,12,Bachelor's
70000,Man,IC,3,30,1,Bachelor's
82500,Man,IC,14,13,6,Bachelor's
350000,Man,IC,20,10,15,Bachelor's
150000,Man,IC,18,17,18,Bachelor's
1e+05,Man,Manager,38,28,36,Bachelor's
97000,Man,IC,25,10,15,Bachelor's
70000,Man,IC,9,14,6,Less than bachelor's
61000,Man,IC,5,15,3,Less than bachelor's
150000,Man,IC,15,18,8,Master's
113000,Woman,IC,9,23,6,PhD
70000,Man,IC,3,20,Less than 1 year,Less than bachelor's
107500,Man,IC,17,13,13,Master's
116000,Man,Manager,21,19,20,Bachelor's
83000,Woman,IC,10,20,9,Bachelor's
92500,Man,IC,19,5,13,Bachelor's
46000,Man,NA,6,14,4,Less than bachelor's
54000,Man,IC,4,14,4,Bachelor's
130000,Man,IC,12,14,7,Bachelor's
85000,Man,IC,16,8,10,Bachelor's
70000,Man,IC,15,8,10,Less than bachelor's
53500,Man,IC,3,20,1,Bachelor's
70000,Man,IC,3,20,NA,Bachelor's
115000,Woman,IC,9,20,4,Bachelor's
142000,Woman,IC,5,18,2,Bachelor's
78000,Man,IC,8,12,2,Less than bachelor's
107000,Man,IC,22,11,19,Bachelor's
1e+05,Man,IC,8,16,7,Less than bachelor's
54889,Man,IC,16,14,10,Master's
256000,Man,IC,20,10,14,Bachelor's
90000,Man,IC,33,12,13,PhD
70000,Man,IC,5,16,3,Bachelor's
88000,Man,IC,5,17,2,Bachelor's
150000,Man,IC,25,13,19,Master's
90000,Man,IC,9,11,5,Bachelor's
60000,Woman,IC,3,20,2,Master's
82000,Man,IC,13,13,5,Bachelor's
94000,Woman,IC,16,9,9,Bachelor's
55000,Man,IC,5,11,3,Bachelor's
94318,Man,IC,25,18,21,Bachelor's
169345,Man,IC,17,12,9,Bachelor's
148000,Man,IC,18,16,12,Master's
120000,Man,Manager,50,15,45,Master's
85000,Man,IC,4,30,4,Less than bachelor's
55000,Man,IC,5,18,3,Bachelor's
1e+05,Man,IC,12,15,6,Bachelor's
75000,Man,IC,37,13,28,Bachelor's
55000,Woman,IC,2,15,2,Bachelor's
120000,Man,IC,15,15,10,Master's
160000,Man,IC,20,12,10,Bachelor's
226000,Man,Manager,27,11,18,Master's
83000,Man,IC,10,13,4,Bachelor's
